ResourceTypeAcronym,ScenarioName,AttributeName,AttributeName_Abstract,AttributeNameCV,AttributeCategoryName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,UnitName,WaterYear,CumulativeAnnual,NumDemandSites,CountValues
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2005,41820.0143405,7,84
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2006,45196.2230644,7,84
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2007,39420.9015869,7,84
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2008,36867.0246615,7,84
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2009,37244.3538311,7,84
WASH,base case scenario 2003,dReq,dReq,Demand,,Cumulative,month,Million cubic meter per month,Million cubic meter per month,2010,37148.1757408,7,84
WEAP,Bear River WEAP Model 2010,Monthly Demand_TS,Monthly Demand,Demand,,Cumulative,month,acre foot,AF,2005,17423.0,1,12
WEAP,Bear River WEAP Model 2010,Monthly Demand_TS,Monthly Demand,Demand,,Cumulative,month,acre foot,AF,2006,21122.0,1,12
WEAP,Bear River WEAP Model 2010,Monthly Demand_TS,Monthly Demand,Demand,,Cumulative,month,acre foot,AF,2007,19713.0,1,12
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2005,184440.67,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2006,225836.47,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2007,253368.95,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2008,235793.79,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2009,184235.41,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2010,206147.68,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2011,164987.12,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2012,242353.64,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2013,256430.21,1,1
WaDEData,Utah Data,Diversions /surface water,,Delivered flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2014,195434.07,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2005,112832.34,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2006,137572.66,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2007,158697.5,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2008,143903.33,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2009,111627.67,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2010,127075.57,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2011,100419.52,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2012,153395.77,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2013,154205.93,1,1
WaDEData,Utah Data,Water Use /surface and ground,,Depleted flow,Surface Water,Cumulative,Year,acre foot,acre-feet/year,2014,115942.39,1,1
